,Bus Capacity,Lambda,Avg. Wq,Avg. Lq,Expected Customers Serviced (Nightly),Cost per student served
0,29,0.5,0.6140000000000001,0.30700000000000005,2.0,80.0
1,29,0.8214285714285714,0.6140000000000001,0.504357142857143,3.2857142857142856,48.69565217391304
2,29,1.1428571428571428,0.6140000000000001,0.7017142857142858,4.571428571428571,35.0
3,29,1.4642857142857144,0.6140000000000001,0.8990714285714287,5.857142857142858,27.317073170731703
4,29,1.7857142857142858,0.6140000000000001,1.0964285714285718,7.142857142857143,22.4
5,29,2.107142857142857,0.6140000000000001,1.2937857142857145,8.428571428571429,18.983050847457626
6,29,2.428571428571429,0.6140000000000001,1.4911428571428575,9.714285714285715,16.470588235294116
7,29,2.75,0.6140000000000001,1.6885000000000003,11.0,14.545454545454545
8,29,3.0714285714285716,0.6140000000000001,1.8858571428571433,12.285714285714286,13.023255813953488
9,29,3.3928571428571432,0.6140000000000001,2.0832142857142864,13.571428571428573,11.789473684210526
10,29,3.7142857142857144,0.6140000000000001,2.280571428571429,14.857142857142858,10.76923076923077
11,29,4.0357142857142865,0.6140000000000001,2.4779285714285724,16.142857142857146,9.911504424778759
12,29,4.357142857142858,0.6140000000000001,2.675285714285715,17.42857142857143,9.180327868852457
13,29,4.678571428571429,0.6140000000000001,2.872642857142858,18.714285714285715,8.549618320610687
14,29,5.0,0.6140000000000001,3.0700000000000003,20.0,8.0
